playlist_id,track_ids
3,344 10293 3321 13960 6579 18344 12111 752 9740 8066
6,8749 1111 11943 4910 12311 8275 20242 10711 5924 12510
7,17154 5924 4603 14765 8749 10100 11233 13542 4189 20443
17,9246 7416 9882 9580 9471 14572 2918 9655 18755 9847
18,18578 13941 15716 5167 8890 1302 14879 19191 3130 5640
19,16973 19411 3835 2306 4466 4923 18906 9359 11810 15773
20,14591 10264 13237 13139 13980 13101 7619 15578 573 8956
25,4202 7545 699 19134 16866 7077 1900 1422 2018 12768
29,8001 12075 2159 9231 56 15341 2508 3903 18361 6776
34,6285 14751 5746 1850 6581 9803 6951 15386 17819 20076
36,13139 17239 18381 2674 11107 13237 360 13980 6253 2912
40,8796 18418 3880 7550 8960 11014 1723 1486 14555 13678
48,648 16502 4949 20172 8491 7506 4401 20515 10848 10251
50,20287 20037 17429 10041 13368 15354 13763 12425 32 6621
52,8838 18254 1357 9441 19173 8456 18963 1434 14827 16293
59,13670 1300 3624 3860 8167 11882 3237 16521 628 12931
60,4111 4916 1898 13862 18904 9229 559 13940 18669 14289
64,10089 12507 12765 9717 15038 20532 5020 8437 16484 4653
77,362 13542 19590 7478 1461 15498 13424 15779 5924 14714
80,14683 9670 7323 3919 18026 11654 3413 14679 19205 2212
83,2736 3519 8866 19214 10711 1111 4514 2012 14826 5141
85,14591 13980 15209 11366 18381 13237 14395 17239 2740 360
88,19243 20443 11257 14714 16973 17154 12164 15438 2765 10880
89,18617 13250 17774 3347 11196 19055 2891 11638 14758 18266
98,9477 4745 16583 10100 14904 12940 17634 8342 16100 394
106,6103 15474 20263 18096 2873 12436 10848 12278 411 1591
107,9291 15669 9710 16820 5881 2912 10112 10629 11070 17568
115,10848 20172 14826 8145 7506 868 4401 2497 2919 8866
138,19825 18856 18824 5149 5651 17663 5882 15322 6137 11451
141,13237 15578 6253 17239 360 3885 18381 12563 13139 14395
142,1300 9253 3860 12931 73 13670 5474 13406 19462 10738
143,20172 8491 7506 4401 868 14826 10251 1149 14732 15187
149,13980 4364 6253 15570 360 14591 14758 10496 18728 19783
164,6408 12623 18599 19856 9003 16845 8709 14430 8466 12056
