playlist_id,track_ids
3,344 10293 3321 13960 12111 752 18344 6579 1111 9740
6,1111 11943 8275 4910 8749 10711 20169 17346 20242 797
7,17154 20443 4492 8749 5924 10100 14765 15935 10300 13542
17,9246 7416 9882 9580 9471 14572 9655 8768 16289 13347
18,13941 18578 15716 8890 11951 5167 3130 18763 14879 1302
19,3835 16973 2306 19411 4923 15773 18906 18138 4466 4152
20,14591 13139 13237 13101 10264 7619 16760 13980 18637 15578
25,4202 699 16866 7077 2018 19134 7545 1900 3788 5620
29,8001 2159 15341 3903 15886 12075 1944 9231 2508 18361
34,6285 14751 1850 19540 6951 9803 1357 7517 15386 5746
36,20134 13139 968 19939 17239 18381 11107 14765 2674 2912
40,8796 18418 7550 1723 8960 15137 3880 1486 11014 20468
48,648 16502 20515 10251 4949 7506 4401 12488 10848 14732
50,20287 20037 11896 17429 15354 12718 19166 12963 13368 6897
52,9441 8456 8838 19173 1434 14827 18254 1935 17247 16293
59,3624 1300 8167 13670 3860 628 11882 16521 18404 123
60,4111 18904 4916 13862 10201 14867 277 13940 17192 18669
64,15038 10089 5604 12507 12765 2203 8437 5726 9717 15547
77,1461 7478 13542 9346 18119 1698 3417 11641 14524 5851
80,14683 18026 9670 10203 15335 16391 7323 3919 3413 14679
83,2736 8145 2012 17947 19214 4796 19657 14008 877 10711
85,2740 18381 17239 14395 541 15209 13237 5513 3245 13980
88,19243 2765 4965 11257 20443 16973 12164 15438 2505 13272
89,17774 18617 13250 19055 11196 3347 6494 18266 2891 12563
98,16583 9477 4745 8342 14904 8033 1276 14509 11483 5023
106,15474 6103 20263 1591 17984 10567 11275 10848 20295 12278
107,9291 15669 9710 2912 6933 17568 6681 11070 10112 17707
115,8145 14826 12510 1189 8539 14732 2919 4401 8866 16494
138,19825 18856 18824 11451 5651 5149 17663 5882 15322 6137
141,12563 15578 13237 18266 6253 17239 19662 18381 541 14395
142,1300 9253 18156 4952 73 9760 13406 5474 9145 12931
143,20172 4401 8491 868 7506 14277 14826 10251 14732 15187
149,13980 19783 10496 11896 4364 14758 15570 3347 6253 18401
164,6408 19856 18599 9003 12623 12056 8408 16845 16591 3161
169,7157 19858 18615 14213 4710 11268 13043 6985 2253 7739
