playlist_id,track_ids
3,1111 344 10293 3321 9740 12111 752 13960 9669 18344
6,10711 1111 16866 8275 20169 8749 11943 797 20242 4910
7,20443 4492 17154 10100 20242 5042 10300 11257 14765 3648
17,9246 9580 13347 9882 7416 8768 9471 9655 16149 14572
18,1302 18578 13941 11951 15716 8890 5167 3130 14879 18107
19,16973 2306 3835 4923 19411 18906 18138 15773 4466 11810
20,7619 13237 13101 14591 13139 10264 18637 16760 13980 15578
25,4202 699 1900 16866 2018 19134 5620 18991 10438 7077
29,12075 1944 8001 2159 15341 3903 15886 9231 8138 2508
34,14751 15386 6285 19540 19856 7517 6951 1850 1357 5746
36,13139 11107 20134 14765 19939 17239 18381 2912 968 17334
40,8796 18418 7550 1723 15137 11638 20468 1486 8960 20268
48,16502 12488 14732 648 20515 10251 4949 8767 4401 18920
50,20287 17429 13763 11896 20037 15354 19166 12963 6892 12718
52,8456 19173 1935 9441 1434 8838 8378 17247 9007 14827
59,1365 11882 1300 3624 8167 19690 628 123 3860 13670
60,18904 4111 1898 10201 13862 4916 559 7256 1944 15778
64,10089 5604 5726 15038 12507 12765 2203 4467 8437 20532
77,15498 1698 13424 7478 13542 1461 9913 17226 11425 20242
80,18026 9670 15335 14683 10203 14679 7323 12295 16391 15241
83,3650 8145 6444 2736 14008 17947 19214 10711 2012 4796
85,15209 13980 5513 17239 18381 5576 14395 2740 541 14591
88,16973 15438 4965 19243 2765 14453 11257 20443 15941 15935
89,18617 11196 19055 17774 6494 13250 3347 18266 12563 11638
98,4745 16583 9477 8342 14509 8033 14904 20461 15036 5023
106,15474 6103 20263 16494 10567 17984 1591 20548 11740 12436
107,9291 10112 15669 2912 9710 6933 17568 1626 10629 10716
115,14826 10848 8866 8145 8539 12510 4401 14732 2919 868
138,18856 19825 18824 11451 5651 5882 9473 15322 17663 6137
141,15578 13237 360 18266 6253 12563 18381 4013 19662 541
142,1300 9253 18156 73 5474 12931 8017 8348 13406 10738
143,20172 8491 868 4401 7506 14826 14732 14277 10251 15187
149,4364 11896 3347 19783 13980 10496 6892 14758 12182 18401
164,6408 19856 8408 18599 9003 12623 12056 16845 16591 3161
169,7157 18615 6901 14213 4710 19858 11268 2253 13043 6985
180,6433 14322 6971 17515 17034 14453 20169 18440 16846 436
199,1944 8487 10825 14149 20145 4513 9229 453 18496 17056
210,19305 14904 394 16583 2006 15511 387 18503 13188 8112
220,1357 13734 17550 9003 1060 9093 6408 6776 10367 3410
221,13782 6253 17631 15578 7059 360 17096 18381 4460 12563
227,3855 9229 18040 12075 4916 6776 7197 4743 559 13730
228,1944 18361 4148 9003 4369 11133 8487 2730 18830 15886
231,17200 6695 12952 508 1149 15931 12906 12510 10481 16457
235,2000 15185 11510 1513 18090 16471 1992 12712 6223 6624
239,6672 5149 9246 8047 17663 18556 11688 17241 3242 8672
241,5359 1641 10706 4058 4026 14178 10913 3375 7545 4202
244,15209 360 13237 14395 13139 17096 10391 16760 13782 15578
255,13101 10250 573 3885 11107 20134 14052 17239 1746 11373
256,8356 18404 16708 1060 19462 6606 4447 15824 19340 4640
258,360 15209 6556 4364 11366 6253 14395 1746 15578 14591
262,16994 14008 15771 19838 19364 4013 4422 19254 2151 13622
265,4144 11157 607 8155 14180 16331 2006 16009 14597 13032
268,3855 5817 4743 56 14149 3750 11759 18904 18249 8138
270,7153 13435 16313 9913 956 14247 6472 20135 16731 19589
271,19466 8033 19305 15931 394 8342 5023 14306 19075 6788
272,12712 6672 2859 15988 18425 2551 15098 17869 1271 1181
275,11107 13237 360 10264 17239 1719 14591 2674 14052 9291
277,7224 16673 6971 7545 10481 1023 11715 14659 6220 20163
290,14907 11715 2508 13406 10957 10481 4513 507 4148 10833
302,10269 4026 20169 3001 1641 16601 3551 17203 13029 1714
303,9834 9473 19969 7961 18824 2551 4672 1992 14758 17635
310,6557 16451 8749 20443 12164 9963 13259 4603 7811 2765
315,17056 5261 4029 8526 19487 17249 7256 5186 1944 15778
316,9388 13599 6920 4774 10521 8138 3907 9718 12539 8645
326,17034 10636 9941 20169 2912 3811 16905 18074 12639 10629
332,2088 5881 10013 15558 1357 7312 18661 16998 16759 6681
337,868 10269 10848 1085 19075 16994 14826 1714 16866 12436
362,2090 8265 1023 16494 11006 1641 17281 18876 2164 2052
365,368 8437 20461 14659 13129 16433 12765 7989 6732 9984
368,7009 10629 15699 14395 5576 9705 2674 17239 15578 10264
370,20558 5297 18679 15360 5455 1473 12526 11025 19733 19509
