playlist_id,track_ids
3,344 10293 12111 3321 13960 1111 6579 18344 752 9740
6,1111 10711 8275 20242 8749 11943 20169 4910 797 11303
7,4492 20443 4052 17154 5042 14765 10300 15779 15908 11257
17,9246 7416 9882 9580 14572 13347 18755 9471 8768 13875
18,18578 13941 11951 15716 8890 3130 1302 3865 14879 18763
19,16973 3835 2306 4152 4923 19411 18138 18906 4466 6557
20,14591 7619 13101 16760 18637 13139 13237 10264 4393 9105
25,4202 699 800 5620 1900 16866 19134 2018 7077 10839
29,8001 2159 15341 12075 3903 1944 15886 9231 18361 18995
34,14751 6285 19540 20306 7517 15386 1850 6951 5746 1357
36,20134 13139 19939 18381 14765 968 2912 11107 17239 13237
40,8796 18418 1723 8960 7550 20468 20268 15137 1486 3880
48,648 16502 12488 14732 4949 8767 20515 7506 10711 10251
50,20287 17429 19166 15354 12963 20037 11896 6621 6189 13763
52,9441 8456 14827 16293 17247 8838 19173 1434 6659 8378
59,1300 3624 8167 11882 13670 19690 628 16521 3860 123
60,4111 10201 18904 4916 13862 559 11702 17192 277 1898
64,10089 5604 15038 12507 12765 2203 8437 5726 8928 4467
77,7478 13542 1698 1461 5947 20242 15498 4301 17226 9913
80,14683 16391 10203 18026 9670 15335 12226 5878 12295 7323
83,2736 19214 2012 14008 8145 4796 19657 3650 16866 9960
85,18381 15209 17239 14591 2740 541 5513 14395 13980 13237
88,4965 2765 19243 11257 16973 20443 15438 6557 14453 12164
89,17774 18617 11196 19055 6494 13250 3347 18266 12563 11638
98,16583 9477 4745 8342 3799 14904 5023 7100 14509 8033
106,15474 6103 20263 1591 17984 10567 11275 12436 10848 12278
107,15669 9291 9710 2912 1626 17568 6933 7761 10629 18875
115,8145 14826 12510 8866 14732 8539 868 4401 16494 4288
138,18856 19825 5882 9473 11451 5651 17663 5149 15322 18824
141,15578 13237 18266 18381 6253 12563 360 381 19662 4106
142,1300 9253 18156 8348 73 12931 5474 9760 8111 13406
143,20172 868 8491 4401 7506 14826 14732 10251 15187 14277
149,19783 4364 12182 15570 5978 11896 10496 6331 9537 13980
164,6408 19856 12056 18599 12623 9003 8408 3161 16845 16591
169,7157 18615 14213 4710 19858 6901 11268 2253 13043 6985
180,6433 17515 14453 436 2088 18440 2402 20571 17034 14322
199,8487 14149 10825 1944 20145 4513 1804 18815 507 453
210,19305 16583 14904 394 2006 10977 387 15511 8112 18743
220,9093 1357 9003 13734 1060 17550 6408 6776 3410 20120
221,4460 15578 6253 7059 360 4444 18381 17096 13782 12563
227,9229 3855 4916 18040 12075 7197 10672 559 13730 13300
228,1944 18361 4148 4369 9003 11133 18830 11258 7256 8487
231,508 1149 6695 15931 8640 10481 1687 2989 16457 17200
235,2000 15185 11510 18090 18645 1513 6223 12712 14370 6624
239,6672 9504 12395 11688 18556 17663 8047 9834 14147 3242
241,5359 4058 4026 1641 10706 18421 3788 10913 14178 7545
244,16760 17096 13237 3190 4186 15209 10391 360 9712 13782
255,10250 13101 3885 573 11107 1746 17239 14052 11373 10264
256,1060 8356 6606 19462 4447 18404 4640 7256 3175 15824
258,4364 11366 6253 14395 360 6556 14591 15209 1746 15578
262,14008 2627 19838 2151 4422 4355 19364 19254 4013 14178
265,8155 16009 11200 14180 13032 5664 20591 11243 16331 14066
268,3855 5817 14149 56 4743 3750 405 18249 11759 559
270,7153 14247 14944 13957 13435 3749 9913 956 7941 16313
271,19466 394 14306 8342 5023 19305 19075 8033 15931 10691
272,12712 6672 15988 2551 18425 2859 1181 15098 3961 1271
275,11107 10264 1719 13237 17239 14591 360 6253 2674 778
277,7224 16673 6971 10481 7545 11715 1023 14659 20163 8640
290,11715 14907 10957 13406 10481 4513 507 10833 2886 2508
302,10269 20169 3001 3551 16994 7163 16601 13029 4026 1641
303,2551 9834 7961 5149 18824 9473 4672 19969 1992 17635
310,8749 6557 16451 13259 12164 20443 9963 14097 7811 16973
315,17056 8526 19487 4029 5261 7701 7256 15778 20447 1944
316,9388 4774 10521 13599 6920 3907 9718 8645 8138 9944
326,17034 20169 9941 10636 2912 18074 3811 1069 12639 7475
332,15558 2088 1357 7312 10013 5881 18661 16998 15770 14734
337,10848 1085 16994 14826 963 868 19254 8033 16866 11664
362,16494 12622 11006 8265 8452 18876 6918 17281 2052 2090
365,8437 20461 14659 16433 13129 12765 13212 7989 6732 1588
368,10629 14395 9705 14591 2412 10264 17239 5576 2674 7009
370,20558 5455 18679 5297 12246 15360 19509 11025 12526 10873
378,11282 16465 5778 20371 1830 6925 9430 4707 11722 19775
392,6933 2272 11070 17786 18440 10496 15710 13959 18493 5997
401,10848 16502 14826 4910 17584 7545 3685 20263 11572 2272
403,5020 20359 6732 20135 3007 16340 2247 5485 10055 9491
407,10659 7550 5818 18418 17276 9528 7133 17404 10300 16338
408,13980 14527 15209 14591 6253 3190 11490 14395 13237 18728
413,15781 15090 37 5564 18399 1714 10691 20135 4058 12739
