playlist_id,track_ids
3,344 10293 3321 752 13960 12111 1111 6579 18344 9740
6,1111 8275 20169 8749 11943 797 20242 4910 10711 12393
7,4492 20443 17154 10100 20242 5042 10300 11257 14765 3648
17,9246 9882 7416 8768 9580 9471 9655 16149 13347 14572
18,13941 18578 15716 8890 3130 1302 11951 5167 18763 14879
19,16973 3835 2306 19411 4923 18906 15773 4152 18138 4466
20,14591 7619 13139 13237 13101 10264 16760 18637 13980 15578
25,4202 699 16866 7077 19134 1900 2018 7545 3788 5620
29,8001 2159 15341 3903 12075 15886 1944 9231 18361 2508
34,6285 14751 19540 19856 7517 6951 1850 1357 5746 15386
36,20134 13139 14765 19939 17239 18381 2912 968 17334 8145
40,8796 18418 7550 8960 1723 3880 15137 1486 11014 20468
48,648 16502 20515 4949 12488 10251 7506 14732 10848 4401
50,20287 20037 11896 17429 15354 13763 19166 6897 12963 12718
52,9441 8456 8838 19173 1434 1935 14827 18254 17247 11425
59,3624 1300 8167 19690 628 123 3860 13670 11882 5474
60,4111 18904 4916 13862 277 10201 14867 13940 18669 17192
64,15038 10089 5604 12507 5726 12765 2203 9717 8437 8928
77,7478 13542 1461 1698 9913 17226 11425 20242 17154 5947
80,14683 18026 9670 15335 16391 10203 3919 7323 12226 3413
83,2736 8145 2012 19214 3650 17947 6444 4796 14008 19657
85,17239 18381 15209 5576 14395 2740 541 14591 9705 2439
88,4965 19243 2765 14453 11257 20443 15941 15935 13640 13272
89,17774 18617 11196 19055 13250 3347 6494 18266 2891 12563
98,16583 9477 8342 14509 4745 8033 14904 20461 15036 5023
106,15474 6103 20263 1591 17984 11275 10567 10848 20295 12436
107,9291 15669 9710 2912 17568 10112 6933 9826 11070 12639
115,8145 14826 12510 14732 8866 1189 8539 10848 4401 2919
138,18856 19825 11451 5651 5882 9473 15322 18824 17663 6137
141,18266 15578 6253 12563 18381 13237 4013 19662 541 18728
142,1300 9253 18156 4952 9760 73 12931 5474 13406 9145
143,20172 868 4401 8491 7506 14826 14732 14277 10251 15187
149,13980 19783 4364 11896 10496 14758 15570 3347 18401 360
164,6408 19856 18599 9003 12623 8408 12056 16845 16591 19941
169,7157 19858 18615 4710 14213 11268 2253 13043 6901 6985
180,6433 17515 17034 14453 20169 18440 16846 436 16905 20242
199,8487 10825 14149 1944 4513 9229 1804 18815 17056 507
210,19305 14904 16583 394 2006 387 8112 18743 10977 5751
220,9003 13734 9093 1357 17550 1060 6776 3410 6408 20120
221,15578 6253 360 7059 17096 18381 12563 13782 4364 2740
227,9229 3855 4916 18040 12075 7197 13862 13730 559 14289
228,18361 1944 4148 9003 4369 11133 8487 2730 18830 15886
231,508 10481 6695 12952 1149 15931 13737 6287 16457 8640
235,2000 11510 15185 18090 1513 6624 17338 5749 6223 10577
239,6672 17663 8047 18556 3242 11688 9504 9834 14147 9246
241,5359 4026 4058 1641 10706 18421 7163 3788 7545 14178
244,13237 15209 17096 360 13782 14395 18728 13139 15578 16760
255,10250 13101 3885 11107 573 1746 14052 13139 17239 18649
256,1060 19462 8356 7256 18404 14907 6606 5983 12550 16708
258,11366 4364 6253 14395 14591 360 15209 15578 6556 1746
262,411 14008 4355 19838 2151 1149 2497 15771 14178 17984
265,8155 14180 13032 11200 16009 5664 20591 16331 11243 607
268,3855 5817 56 14149 3750 11759 18904 18249 8138 405
270,7153 14247 9913 956 14944 19589 13957 13435 16313 19846
271,15931 19466 394 8342 5023 14306 19075 19305 6788 10691
272,12712 6672 18425 15988 15098 2551 2859 1271 17869 8731
275,11107 10264 17239 13237 2674 360 6253 14591 14052 15578
277,7224 10481 16673 6971 1023 11715 14659 8640 20163 15942
290,13406 10957 11715 14907 10481 4513 507 4148 10833 17114
302,10269 3001 1641 16601 3551 17203 20169 13029 1714 7163
303,9834 9473 19969 2551 18824 5149 4672 663 17663 7961
310,8749 6557 16451 20443 12164 4603 7811 9963 9676 19243
315,17056 8526 4029 15778 7256 5261 1944 17249 19487 3445
