playlist_id,track_ids
3,344 10293 3321 13960 18344 6579 12111 752 9740 11327
6,1111 20169 17346 10711 11943 20242 797 11303 6954 8275
7,4492 4052 20443 17154 5924 15908 20242 11641 14765 10300
17,7416 9246 13875 9882 5749 9580 14572 16289 18755 19451
18,18578 3130 11951 13941 3865 16744 15716 8890 17617 14879
19,15593 3279 3835 2306 15773 4923 6557 19411 18138 18906
20,14591 16760 13101 9105 18637 9503 4393 7619 13237 10264
25,10839 800 5620 4202 699 16866 7077 1900 2018 19134
29,8001 15341 2159 15886 3903 1944 18361 12075 8138 16457
34,20306 14751 6181 6285 6951 7517 19540 1850 1357 9803
36,19939 968 20134 20268 18381 2912 14765 13139 20048 2674
40,2735 8796 16402 20468 18418 15355 7550 8960 3880 15137
48,648 8767 2437 8491 20515 4401 12488 14732 4949 10711
50,12963 19166 6189 17429 6621 6892 15954 15354 32 20037
52,16293 9441 14827 11604 6659 19120 10377 8838 1434 8456
59,1300 3624 123 11882 16521 5474 13670 8502 19690 8167
60,10201 17192 11702 18475 559 15778 4111 18904 13862 1898
64,10089 12507 5604 15038 4467 14012 12765 2203 8437 15547
77,1461 7478 20242 1698 15498 13542 5947 4301 17226 17154
80,14683 10203 16391 18026 5878 3919 9670 15335 12226 3982
83,2012 19214 19657 14008 9271 9960 4796 2736 16866 8843
85,18381 14591 5513 541 3245 5576 2439 12438 14395 9705
88,2765 16973 4965 19243 11257 20443 13272 13259 15438 13640
89,18617 6494 17556 17774 11196 19055 3347 11661 13250 16471
98,16583 14509 9477 3799 20461 4745 8342 7100 15036 14904
106,1591 15474 6103 11740 11275 20295 17984 17239 10848 20263
107,1626 15669 9710 7761 9291 10629 2912 12639 6933 18875
115,12510 4288 3519 8145 8866 1523 14826 14732 11648 16494
138,5882 19825 17663 5149 15322 18856 6137 9473 18824 11451
141,381 13237 541 4013 12563 18381 6253 573 14395 19662
142,18156 9760 8111 8348 1300 9253 4369 17309 73 12931
143,20172 8491 4401 1149 14277 868 7506 10251 14732 14826
149,5978 4364 19783 15570 4569 12182 11107 6331 12497 9537
164,12056 3161 19856 16067 15739 9003 7185 6408 19941 12623
169,7157 4710 14213 18254 18615 6985 13043 6901 2253 9982
180,17515 6433 20571 9034 7400 436 2402 14453 2088 20169
199,10825 8487 4202 20362 14149 20145 4513 1804 18815 507
210,19305 16583 394 14904 2006 10977 14509 16772 18503 18743
220,9093 521 17550 20120 4998 13734 6776 7936 1357 9003
221,4460 15578 6253 5978 4444 18381 3729 12563 7059 4364
227,18040 10672 9229 13300 3855 7197 4916 559 13862 12075
228,1944 18361 4369 4148 15886 19462 11133 18830 9003 11258
231,508 1149 15931 8640 1687 2989 15771 13737 12906 3950
235,18090 18645 14370 12712 9580 6223 1513 2000 11510 15185
239,12395 9504 14147 11688 9834 6672 10584 18556 3242 12114
241,18421 1641 4058 10706 3788 4026 5359 10913 7545 7163
244,17096 16760 3190 4186 9712 778 10391 15209 14395 13237
255,10264 1398 13101 10250 6189 11373 1746 14052 20134 13139
256,6606 4640 3175 19867 15824 4447 8356 1060 19340 19462
258,6253 11366 14395 4364 1746 9712 8481 573 6556 14591
262,2627 14008 2151 4422 10420 4355 14178 3977 19838 19364
265,8155 16009 11200 14180 13032 5664 20591 11243 11696 3169
268,3855 5817 14149 4743 56 11759 3750 18249 559 405
270,7153 3749 13957 14247 14944 7941 17143 7264 19169 638
271,14306 394 13593 19075 19466 5023 8342 19305 16100 10691
272,6672 15988 2551 13609 7961 3961 1181 12712 18425 15098
275,11107 14591 17239 2674 13980 10264 1719 778 13237 6253
