playlist_id,track_ids
3,344 10293 12111 3321 6579 1111 13960 18344 752 9740
6,1111 20169 8275 8749 797 11943 20242 4910 10711 11303
7,4492 20443 15908 17154 5042 10100 20242 4052 10300 11257
17,9246 7416 9882 8768 9580 9471 13875 9655 5749 18755
18,18578 1302 13941 15716 3130 11951 8890 3865 14879 18763
19,16973 2306 3835 4152 6557 18138 4923 18906 19411 4466
20,7619 16760 14591 13101 18637 13237 4393 573 10264 9105
25,4202 699 800 1900 5620 1111 18567 10839 10706 19134
29,12075 1944 8001 18361 17820 15886 18995 15341 56 16708
34,6285 14751 19540 19856 7517 20306 6951 1850 6181 1357
36,20134 19939 14765 13139 968 18381 17239 2912 17334 20048
40,8796 18418 7550 8960 20268 16338 3880 2317 18899 1723
48,16502 12488 14732 8145 648 10711 4949 7506 10848 6629
50,17429 20287 13763 19166 12963 32 15354 20037 6621 6189
52,8456 19173 9441 16293 14827 17247 1935 8838 10377 11425
59,1300 3624 8167 19690 123 628 5474 11882 3860 13670
60,18904 4111 1898 277 4916 17192 18995 8173 10201 11702
64,10089 5604 15038 5726 12507 8928 9717 4014 12564 12765
77,7478 13542 1461 1698 9913 20242 17226 11425 17154 5947
80,16391 10203 14683 18026 9670 15335 12226 19461 5878 3982
83,19214 2012 2736 3650 14008 8145 6444 16866 16453 4796
85,18381 17239 5576 15209 14395 541 2740 14591 2439 9705
88,4965 14453 19243 2765 11257 13640 19628 15941 20443 15935
89,18617 11196 19055 17774 6494 17556 13250 3347 18266 11661
98,16583 9477 14509 20461 8342 15036 4745 8033 3799 14904
106,15474 6103 1591 20263 11275 2497 2873 12436 20295 17239
107,7761 15669 9710 9291 2912 17568 3644 1626 7903 16820
115,14826 12510 10848 8866 8145 7506 20172 15187 16494 868
138,18856 19825 5882 9473 11451 5651 15322 17663 6137 18824
141,18266 18381 6253 15578 12563 4013 13237 573 541 14395
142,1300 18156 9253 9760 8348 12931 8111 4369 5474 9026
143,20172 868 4401 8491 14826 7506 14732 14277 15187 10251
149,4364 15570 12182 19783 5978 4569 17432 9537 7610 11896
164,6408 19856 12056 12623 8408 3161 18599 9003 16845 19941
169,7157 18615 6901 19858 4710 2253 11268 14213 19976 13043
180,6433 17515 14453 17034 20169 436 16846 18440 2402 20571
199,10825 8487 1944 14149 4513 1804 18815 507 16205 17056
210,19305 14904 394 16583 2006 387 10977 18743 8112 20433
220,1357 9093 13734 17550 20120 9003 3410 4998 1060 14430
221,4444 4460 13782 6253 5978 17631 360 15578 4364 17096
227,9229 12075 4916 3855 18040 6776 10672 7197 4743 559
228,18361 1944 9003 4148 4369 8487 11133 2730 7260 5750
231,17200 508 2989 6695 1687 4865 8640 1149 405 10481
235,2000 15185 18645 18090 6223 11510 14572 14370 17338 6624
239,6672 18556 8047 17663 11688 12395 14147 9834 9504 3242
241,4058 5359 10913 4026 14178 18421 3375 7545 1641 4202
244,16760 10391 17096 14395 13139 13237 3190 4186 9712 15209
255,13101 10250 573 3885 10264 18649 9712 1746 18825 17239
256,8356 18404 1060 16708 3600 4347 6606 19462 11882 5655
258,11366 4364 6556 360 15209 14591 3055 573 14395 17538
262,14008 2627 2151 4355 4422 14178 15771 19838 10420 16994
265,8155 16009 11200 13032 5664 14180 14066 11243 16331 11696
268,3855 5817 56 14149 3750 11759 18904 18249 8138 405
270,7153 14247 13435 13957 9913 956 14944 3749 16313 19589
271,15931 19466 394 14306 8342 5023 19075 16100 19305 6788
272,12712 6672 15988 7961 3961 1181 2859 1271 17635 2551
275,11107 13237 360 10264 14591 7619 778 17239 6253 2437
277,7545 7224 10481 6971 14659 20163 11715 8640 1023 16673
290,13406 10957 11715 14907 4513 10481 507 10005 2085 2886
