itemid,mean,dev_std,min,max,sparse
0,0.0023608983, 0.0023416346, 1.133689e-05, 0.018596686, 0.9880300460382845
1,0.0035798654, 0.0058687283, 1.8764317e-06, 0.046248958, 0.984976980857766
2,0.0025423826, 0.002094474, 1.2155203e-05, 0.021341162, 0.9754300944996366
3,0.0055978857, 0.0053037284, 0.0003651017, 0.021018734, 0.9987884661982069
4,0.008397648, 0.01068773, 7.2512856e-05, 0.03450397, 0.9968015507632663
5,0.0028696684, 0.0032971415, 1.078505e-05, 0.0215538, 0.9848315968015507
6,0.009679205, 0.015049425, 3.7518283e-05, 0.09110844, 0.9900169614732252
7,0.008039496, 0.012777542, 4.041215e-05, 0.10044315, 0.9934092561182457
8,0.001654727, 0.0014589711, 5.030971e-05, 0.008978845, 0.9961715531863339
9,0.001833805, 0.0015997973, 1.918367e-05, 0.008526578, 0.9969953961715532
10,0.0030667735, 0.00411148, 8.656033e-07, 0.022056961, 0.9938454082868912
11,0.0039070565, 0.0026440145, 0.0025360181, 0.0123025235, 0.9975769323964139
12,0.0024602448, 0.002921696, 4.063839e-06, 0.025073687, 0.984783135449479
13,0.003508718, 0.0010061145, 0.0008308738, 0.0041812942, 0.9989823116064939
14,0.00283013, 0.00072349026, 0.0006690077, 0.0042768987, 0.9971407802277683
15,0.003473633, 0.006913668, 2.7915428e-07, 0.07747649, 0.9795977707778047
16,0.0020665561, 0.0021740263, 2.5970987e-05, 0.02430032, 0.9876908165737824
17,0.0014413499, 0.00097396306, 3.7174188e-05, 0.0037162837, 0.9978677005088442
18,0.0038797266, 0.00013280041, 0.0036572926, 0.003989233, 0.9988369275502786
19,0.002096651, 0.0021660568, 2.4238236e-06, 0.020944482, 0.9830869881269687
20,0.005342407, 0.007381188, 2.2173495e-05, 0.035285883, 0.9892900411921492
21,0.003424426, 0.004472902, 5.7045863e-06, 0.032392424, 0.9803731524109522
22,0.0017866764, 0.0015538704, 1.2973475e-05, 0.012203169, 0.9840077538163314
23,0.0035384707, 0.0051295143, 1.6608764e-06, 0.045910828, 0.9794523867215895
24,0.0036653664, 0.0061637885, 1.5124638e-06, 0.06273059, 0.9684031984492367
25,0.00443037, 0.004400768, 0.00017213475, 0.019728564, 0.9957354010176884
26,0.0029640885, 0.0035615105, 3.2499927e-06, 0.031288955, 0.9661739762539375
27,0.0031445138, 0.0054689203, 3.6523968e-06, 0.099292345, 0.9628786043130604
28,0.003121441, 0.0073196534, 3.4477443e-06, 0.12782294, 0.9617639932154107
29,0.0018056458, 0.0010381041, 0.00023018742, 0.004224792, 0.9984976980857766
30,0.0024787309, 0.00197935, 0.00010238536, 0.013496649, 0.9964138599466925
31,0.0030004892, 0.0012562813, 0.0002616037, 0.0049030595, 0.9965107826508359
32,0.0038651316, 0.0060033263, 6.812565e-06, 0.058616545, 0.9716016476859705
33,0.00468043, 0.006107896, 2.2328863e-05, 0.058988173, 0.9834746789435426
34,0.001818351, 0.0015728329, 4.1011367e-06, 0.011632296, 0.992488490428883
35,0.0032292781, 0.0045680455, 3.705228e-06, 0.0567569, 0.9811485340440999
36,0.002589258, 0.0018382961, 3.8658625e-05, 0.013212703, 0.9952507874969712
37,0.003583498, 0.0049794186, 7.1013324e-06, 0.048468135, 0.9614247637509087
38,0.0035552415, 0.0057778144, 7.830154e-06, 0.0837204, 0.9813423794523867
39,0.0021624933, 0.0017562083, 1.370676e-05, 0.012218388, 0.9935061788223891
40,0.0028487516, 0.0010030061, 0.00016185812, 0.0034715706, 0.9975284710443422
41,0.0022528304, 0.0015939163, 5.6789913e-06, 0.008712067, 0.9895323479525079
42,0.0034528372, 0.008434181, 1.1549936e-06, 0.10532533, 0.9848315968015507
43,0.003376033, 0.001314755, 0.0024171066, 0.012379781, 0.9976253937484856
44,0.00327282, 0.00014308767, 0.002705413, 0.0033545296, 0.9976738551005573
45,0.0062492406, 0.0083806235, 0.00019467584, 0.03629231, 0.9939423309910347
46,0.0031246876, 0.0030733221, 1.9373651e-06, 0.024794988, 0.9741700993457717
47,0.001352721, 0.0011532189, 1.0104496e-05, 0.0037886729, 0.9987884661982069
48,0.0018334959, 0.0017422333, 1.8933984e-05, 0.013922399, 0.9913738793312333
49,0.0029452275, 0.002513343, 0.0006417256, 0.013620945, 0.9988369275502786
50,0.0040859994, 0.0049005626, 0.00053937966, 0.038159877, 0.9967530894111946
51,0.0026761019, 0.002953213, 4.75204e-06, 0.020585239, 0.9834262175914708
52,0.003426241, 0.0037247275, 2.0693406e-05, 0.02091407, 0.9970438575236249
53,0.0023793024, 0.0020793614, 2.3219165e-05, 0.013277382, 0.9945238672158954
54,0.0031198543, 0.0027444458, 3.8676782e-05, 0.011751146, 0.9967046280591229
55,0.0031028101, 0.005282376, 3.831862e-06, 0.048528686, 0.9838139084080446
56,0.005311978, 0.008626469, 1.5073347e-05, 0.07821437, 0.9643809062272838
57,0.0027670383, 0.003401154, 6.261974e-07, 0.032936078, 0.9801793070026654
58,0.002711359, 0.0012352673, 6.021724e-05, 0.003782916, 0.9979646232129876
59,0.0021309974, 0.0022495447, 1.0616564e-05, 0.017513294, 0.9857523624909135
60,0.0041186395, 0.0060886233, 8.839847e-06, 0.05136484, 0.9809062272837412
