itemid,mean,dev_std,min,max,sparse
0,1.8793973e-05, 7.53278e-08, 1.8720739e-05, 1.889759e-05, 0.9998546159437849
1,5.499413e-05, 5.1751766e-05, 1.7157407e-05, 0.00019605788, 0.9987884661982069
2,0, 0, 0, 0, 1
3,0, 0, 0, 0, 1
4,4.7988462e-05, 2.3490215e-05, 1.872339e-05, 9.8066186e-05, 0.9990792343106373
5,3.8649177e-05, 2.8001794e-05, 1.8816972e-05, 7.824968e-05, 0.9998546159437849
6,0.0003982547, 0.00045156758, 6.350977e-06, 0.0023313826, 0.9926823358371698
7,8.764387e-05, 6.2939616e-05, 1.7132616e-05, 0.00031214848, 0.998255391325418
8,0, 0, 0, 0, 1
9,0, 0, 0, 0, 1
10,3.8397244e-05, 1.402159e-05, 1.8652854e-05, 5.830951e-05, 0.9998061545917131
11,0, 0, 0, 0, 1
12,3.793403e-05, 2.2540342e-05, 1.7990671e-05, 7.727947e-05, 0.9992730797189242
13,0, 0, 0, 0, 1
14,0, 0, 0, 0, 1
15,6.545332e-05, 8.184398e-05, 1.2410609e-05, 0.0004969152, 0.9957354010176884
16,0, 0, 0, 0, 1
17,0, 0, 0, 0, 1
18,0, 0, 0, 0, 1
19,3.8238457e-05, 0.0, 3.8238457e-05, 3.8238457e-05, 0.9999515386479283
20,8.265252e-05, 7.3225354e-05, 1.6228936e-05, 0.000369749, 0.9969469348194815
21,9.357004e-05, 9.2132264e-05, 3.987459e-06, 0.00045321198, 0.9947177126241822
22,0, 0, 0, 0, 1
23,6.4369095e-05, 4.0163926e-05, 1.7141547e-05, 0.00017544533, 0.9968984734674098
24,9.565883e-05, 0.000104666535, 1.41480805e-05, 0.0007245639, 0.9943300218076084
25,0, 0, 0, 0, 1
26,5.9391e-05, 4.6437144e-05, 1.578479e-05, 0.0002347065, 0.9972861642839835
27,7.477824e-05, 7.632141e-05, 6.3507473e-06, 0.00037379653, 0.9945238672158954
28,0.000114380346, 0.00014932232, 1.7965185e-05, 0.00063039624, 0.9981100072692028
29,0, 0, 0, 0, 1
30,0, 0, 0, 0, 1
31,0, 0, 0, 0, 1
32,0.000109083594, 0.00011551359, 4.9055507e-06, 0.00069331384, 0.993700024230676
