itemid,mean,dev_std,min,max,sparse
0,2.452836e-05, 1.4924533e-05, 1.4482177e-05, 0.00011433915, 0.9801793070026654
1,3.55184e-05, 3.717126e-05, 5.7370708e-06, 0.00036271944, 0.9668524351829416
2,2.2037188e-05, 1.0752676e-05, 1.4217233e-05, 9.579281e-05, 0.9634601405379211
3,2.1334346e-05, 9.06187e-06, 1.8285213e-05, 5.8332087e-05, 0.9978677005088442
4,7.83069e-05, 5.4192486e-05, 1.843403e-05, 0.00017680405, 0.9978677005088442
5,2.5018226e-05, 1.51150025e-05, 1.3097984e-05, 0.000116972486, 0.9771262418221468
6,0.00020662336, 0.0003577155, 1.5378642e-05, 0.0023995761, 0.9813908408044585
7,5.6196484e-05, 6.534042e-05, 1.5919239e-05, 0.00040784263, 0.984783135449479
8,1.8917295e-05, 2.9298296e-06, 1.7154978e-05, 3.839039e-05, 0.9913254179791616
9,1.882313e-05, 2.3523369e-06, 1.760373e-05, 3.8444276e-05, 0.9965592440029076
10,2.8109049e-05, 2.0220941e-05, 1.0163366e-05, 0.00013492805, 0.9856069784346984
11,1.9441895e-05, 3.7758869e-06, 1.868678e-05, 3.8511436e-05, 0.9974315483401986
12,2.7042888e-05, 2.2336448e-05, 9.402931e-06, 0.00022796505, 0.9674339714078023
13,1.8661809e-05, 6.984806e-08, 1.8443026e-05, 1.8704317e-05, 0.9989823116064939
14,1.868115e-05, 2.1410049e-08, 1.8576044e-05, 1.8705421e-05, 0.9970923188756966
15,3.8861e-05, 4.843169e-05, 1.0030177e-06, 0.00061019044, 0.9423794523867216
16,2.1246826e-05, 8.563238e-06, 1.6994945e-05, 7.7878474e-05, 0.9833292948873273
17,2.0345522e-05, 5.7352777e-06, 1.7851042e-05, 3.8413113e-05, 0.996850012115338
18,1.8700901e-05, 1.5881684e-09, 1.8697252e-05, 1.8702442e-05, 0.9987400048461352
19,2.3099346e-05, 1.3180995e-05, 1.5236445e-05, 0.00017196129, 0.9742670220499152
20,4.9669343e-05, 5.785466e-05, 1.392015e-05, 0.00040441754, 0.9775623939907924
21,4.5217388e-05, 5.8581867e-05, 6.742943e-07, 0.00052965357, 0.9460140537921008
22,2.0161971e-05, 6.960327e-06, 1.3562705e-05, 5.794496e-05, 0.9765447055972861
23,3.6941343e-05, 4.166394e-05, 1.32691275e-05, 0.0002898415, 0.95245941361764
24,4.0458784e-05, 5.450814e-05, 9.825772e-06, 0.00077844557, 0.9236733704870366
25,2.0730133e-05, 7.0160963e-06, 1.7585739e-05, 5.8215206e-05, 0.9961230918342622
26,3.113297e-05, 3.0195753e-05, 8.487619e-06, 0.00044677604, 0.919408771504725
27,3.5771387e-05, 4.0756662e-05, 3.82308e-06, 0.00045006725, 0.9051126726435668
28,2.9721898e-05, 3.7554666e-05, 7.764548e-06, 0.0007252768, 0.9139326387206204
29,1.860035e-05, 7.2554286e-08, 1.8451618e-05, 1.869844e-05, 0.9984492367337049
30,1.918916e-05, 3.3353892e-06, 1.8318695e-05, 3.852326e-05, 0.9966561667070511
31,1.8670697e-05, 4.2815987e-08, 1.8536359e-05, 1.8710976e-05, 0.9965107826508359
32,4.5841884e-05, 6.945035e-05, 4.1318362e-06, 0.0009141286, 0.9242549067118973
33,4.4574164e-05, 4.8731243e-05, 9.467292e-06, 0.000504406, 0.9622486067361279
34,1.9407233e-05, 4.1563e-06, 1.742917e-05, 3.8171027e-05, 0.9939907923431064
35,3.0462428e-05, 2.8040336e-05, 1.1857135e-05, 0.0002945521, 0.9669978192391567
36,2.038687e-05, 6.322191e-06, 1.8093995e-05, 5.7291512e-05, 0.9953961715531864
37,4.8346505e-05, 8.300207e-05, 1.0709234e-06, 0.0011394423, 0.8742427913738793
38,3.9788956e-05, 4.0900348e-05, 7.1734075e-06, 0.0004304755, 0.961715531863339
39,2.1969165e-05, 8.514728e-06, 1.5983733e-05, 5.6763813e-05, 0.9884177368548582
40,0, 0, 0, 0, 1
41,1.9736426e-05, 4.7102126e-06, 1.7331029e-05, 3.8494618e-05, 0.9880300460382845
42,3.3182503e-05, 5.4235134e-05, 5.172111e-06, 0.00061752385, 0.9629270656651321
43,1.9700057e-05, 4.353972e-06, 1.8630013e-05, 3.8512924e-05, 0.9971407802277683
44,1.8693732e-05, 1.1166206e-09, 1.8689094e-05, 1.8695393e-05, 0.9976738551005573
45,3.9316747e-05, 3.9939376e-05, 1.7768181e-05, 0.00029482594, 0.9906954204022292
46,2.4358676e-05, 1.5319672e-05, 1.4893002e-05, 0.00013574144, 0.9596316937242549
47,1.8458028e-05, 1.5498702e-07, 1.8186991e-05, 1.8689318e-05, 0.998933850254422
48,2.158882e-05, 1.0412735e-05, 1.1162295e-05, 9.0697686e-05, 0.9872062030530652
49,2.162465e-05, 8.906793e-06, 1.7693492e-05, 5.832943e-05, 0.9970923188756966
50,2.2528277e-05, 1.3182028e-05, 1.8491184e-05, 0.000117783595, 0.9962684758904773
51,2.5098128e-05, 1.7382015e-05, 1.5247379e-05, 0.00021341894, 0.9713593409256118
52,2.2742646e-05, 1.0102191e-05, 1.7835555e-05, 5.8322697e-05, 0.9968015507632663
53,1.9377996e-05, 3.7772459e-06, 1.837319e-05, 3.8522943e-05, 0.9961230918342622
54,2.1277614e-05, 6.754685e-06, 1.8320417e-05, 3.849233e-05, 0.9960261691301188
55,2.6482372e-05, 2.4600939e-05, 1.567801e-05, 0.00031176055, 0.9716501090380422
56,8.71705e-05, 0.00019217319, 1.8281406e-06, 0.0023751843, 0.8633874485098134
57,2.8107817e-05, 2.1979151e-05, 1.0332309e-05, 0.00022662188, 0.9590016961473226
58,0, 0, 0, 0, 1
59,2.2270813e-05, 1.1114084e-05, 1.2954037e-05, 9.747825e-05, 0.9776108553428641
60,4.234247e-05, 5.2566742e-05, 6.577041e-06, 0.00039786007, 0.943009449963654
61,1.8571833e-05, 1.2553599e-07, 1.809608e-05, 1.870323e-05, 0.9964138599466925
62,2.0220592e-05, 5.277445e-06, 1.8687522e-05, 3.8502185e-05, 0.9993700024230676
63,1.8668712e-05, 5.594572e-08, 1.8461173e-05, 1.8703939e-05, 0.9987884661982069
64,1.8633447e-05, 8.568363e-08, 1.8362189e-05, 1.8706165e-05, 0.9980130845650593
65,3.985902e-05, 4.561e-05, 9.234275e-06, 0.00051780615, 0.9437848315968016
66,1.8686462e-05, 3.139825e-08, 1.8606524e-05, 1.870616e-05, 0.9990792343106373
67,2.6184483e-05, 2.251799e-05, 1.2937373e-05, 0.00025044524, 0.9692755027865277
68,1.8599038e-05, 1.0904723e-07, 1.8328785e-05, 1.8697687e-05, 0.9987400048461352
69,2.7032718e-05, 2.318938e-05, 1.4852308e-05, 0.00024900935, 0.9535740247152895
70,3.8097587e-05, 4.545283e-05, 1.3162736e-05, 0.0004121647, 0.9734431790646959
71,2.5510066e-05, 1.8990697e-05, 1.4920699e-05, 0.00018976185, 0.9757693239641386
72,1.9116296e-05, 3.0670367e-06, 1.8328323e-05, 3.8528124e-05, 0.9960261691301188
73,5.453401e-05, 8.479616e-05, 8.57323e-06, 0.0008782638, 0.9474678943542525
74,1.8641951e-05, 7.398426e-08, 1.8440694e-05, 1.86973e-05, 0.9980615459171311
75,3.106766e-05, 3.2698244e-05, 9.47704e-06, 0.00064104376, 0.9162103222679913
76,2.1646265e-05, 1.0898786e-05, 1.7471411e-05, 0.00011766385, 0.9874000484613521
77,1.969377e-05, 4.706388e-06, 1.732136e-05, 3.8345534e-05, 0.9952992488490429
78,2.1947697e-05, 1.0236717e-05, 1.2327223e-05, 7.8073885e-05, 0.9784831596801551
79,1.8618834e-05, 1.0804882e-07, 1.8138162e-05, 1.86892e-05, 0.9969953961715532
80,7.087707e-05, 0.0001372335, 1.8959082e-07, 0.0023886906, 0.8370244729827963
81,2.0671136e-05, 6.7613546e-06, 1.7461658e-05, 5.7881076e-05, 0.9954930942573298
82,2.3805345e-05, 1.5688005e-05, 8.13964e-06, 0.0001371168, 0.9813423794523867
83,3.003896e-05, 2.3405155e-05, 1.8155573e-05, 0.00013738626, 0.9943784831596801
84,2.6347947e-05, 2.4173298e-05, 1.5434904e-05, 0.0003480104, 0.9646716743397141
85,4.2430354e-05, 2.8939661e-05, 1.6031874e-05, 0.0001323508, 0.9947661739762539
86,1.8621155e-05, 8.449158e-08, 1.8385514e-05, 1.8705063e-05, 0.9990792343106373
87,1.8693117e-05, 2.0072841e-08, 1.8648128e-05, 1.8710234e-05, 0.9996123091834263
88,2.5881718e-05, 1.9883504e-05, 1.3813299e-05, 0.00017611108, 0.9731039496001939
89,2.5381169e-05, 1.7589806e-05, 9.76625e-06, 0.00021592715, 0.9608916888781197
90,2.0432859e-05, 6.4355468e-06, 1.7208702e-05, 5.8209385e-05, 0.9801793070026654
91,1.9190047e-05, 3.823968e-06, 1.6776254e-05, 3.838412e-05, 0.9856554397867701
