playlist_id,track_ids
3,344 10293 3321 13960 752 12111 6579 18344 8066 9740
6,1111 11943 4910 10711 17346 16866 8275 8749 2627 5100
7,8749 17154 5924 15935 20443 14765 13542 10100 4189 4603
17,9246 7416 9882 9580 14572 16289 9471 9655 2918 13347
18,13941 18578 15716 8890 5167 3130 18763 14879 1302 8885
19,3835 16973 19411 2306 15773 4923 18906 18138 4152 4466
20,14591 13237 10264 13139 13101 7619 13980 16760 573 15578
25,4202 699 7545 16866 7077 1900 19134 2018 3788 1422
29,8001 2159 15341 3903 15886 12075 1944 2508 18361 5186
34,6285 1850 14751 9803 1357 20076 6951 7311 6581 1828
36,20134 968 19939 11107 17239 13139 2674 18381 9705 10250
40,8796 18418 7550 8960 3880 15137 1486 11014 1723 13678
48,16502 648 7506 10848 10251 8145 4949 20515 4401 12488
50,20037 20287 17429 13368 17034 12718 13763 11896 12425 10041
52,8838 9441 19173 8456 1357 18254 18963 1935 14827 1434
59,3624 13670 1300 8167 3860 11882 628 16521 3237 18404
60,4111 18904 4916 14867 18669 18995 1551 13940 17192 13111
64,15038 5726 10089 12507 12765 9717 5604 2203 8437 5722
77,18119 1461 3417 11641 9346 13188 5851 14524 7868 1442
80,14683 18026 9670 3919 16391 15335 10203 19205 7323 3413
83,2736 2012 6444 19657 877 4796 17947 19214 8145 3650
85,2740 13237 11070 5881 13782 541 4364 9061 10264 15578
88,19243 16973 11257 20443 2765 4965 15438 12164 14714 17154
89,18617 17774 11196 19055 13250 3347 2891 14758 18266 12563
98,9477 4745 8342 16583 1276 14904 11483 9002 8033 394
106,15474 6103 1591 20263 18096 20295 17984 11275 2497 10848
107,9291 15669 9710 17707 11070 6681 13006 12639 2912 9826
115,10848 1189 8145 14826 20172 10251 12510 14277 15187 2919
138,19825 18824 18856 5149 5651 11451 17663 15322 6137 5882
141,12563 17239 13237 15578 3885 6253 10496 19662 4364 10270
142,1300 18156 4952 9760 3860 9253 9145 13406 8111 16444
143,20172 8491 4401 7506 868 14277 14826 10251 14732 5606
149,13980 14758 4364 10496 11896 15570 19783 6253 3347 17239
164,19856 6408 18599 9003 12623 8408 16845 12056 7185 16591
169,19858 7157 18615 4710 14213 14375 7739 6409 18254 13043
180,6433 17515 7400 436 6220 17420 6971 2402 18231 14453
199,8487 10825 1944 4513 1804 1898 507 9229 18815 14149
210,14904 19305 16583 394 2006 18743 8112 4745 5751 5429
220,13734 17550 9093 6776 9003 3410 1060 20120 8709 4998
221,15578 6253 360 17096 18381 2740 12563 4364 7059 10264
227,9229 3855 18040 7197 4916 13862 12075 16008 4023 14289
228,18361 1944 4148 4369 11133 2730 19814 19462 16457 4743
