playlist_id,track_ids
3,344 10293 13960 3321 12111 18344 6579 752 5727 8066
6,1111 15634 11943 3606 11188 2579 5630 12599 15167 18922
7,16451 362 13542 4492 20150 15935 15368 17780 11641 358
17,9246 7416 9882 16289 14572 9655 9580 18755 9471 9847
18,18578 11951 5167 13941 3865 7540 10681 2765 19191 816
19,6557 3835 15773 2306 18138 12311 19411 3279 4923 18906
20,7619 14591 13101 1746 16760 10264 13139 18389 12880 19734
25,4202 699 7077 3788 7545 1900 16866 19134 2018 1713
29,18361 8001 3855 2730 2508 8880 15029 12075 6695 56
34,9803 6285 1850 7311 20076 6581 12243 19999 6951 1357
36,3811 4267 20475 2930 10496 7440 4795 5765 19713 5165
40,8796 8960 18418 13678 7550 15137 1723 5469 11014 19733
48,10848 16502 6219 344 411 20515 7035 12488 10941 12499
50,20037 11896 20287 8229 13763 6897 3074 18627 12963 15354
52,8838 19173 1935 8456 9441 14827 6577 16293 1357 18254
59,8167 3624 11882 13670 20259 628 1300 3860 5736 3953
60,18995 5925 18904 13111 17192 1551 18404 3600 3511 277
64,5726 5604 4799 15038 3470 12793 15905 6157 15878 4133
77,18119 13188 6577 12426 3417 11641 5851 9232 16447 9346
80,14683 16391 10203 18026 3919 15335 9670 19205 11654 3413
83,19657 2012 8145 4799 14354 877 4796 7040 9073 6444
85,13070 5513 6799 32 9061 10401 9748 13418 14176 3740
88,11257 6557 2765 4965 2984 541 16973 12164 17459 12639
89,18617 17774 11196 19055 2891 3347 13250 18266 11661 8160
98,9002 9477 4745 8033 4212 2759 3799 17657 8342 16640
106,15474 14008 2497 14277 10848 11275 17584 6518 8145 20295
107,2912 7903 13006 9291 7761 10636 6891 18440 15781 15669
115,16494 1189 15187 12575 12510 3431 20515 10848 2919 411
138,19825 18856 18824 15322 5149 11451 5651 5882 10834 13056
141,1144 12599 5418 15538 9974 17239 19398 14998 17459 541
142,18156 4346 1300 9760 18140 6448 9944 8540 8872 6550
143,20172 8491 4401 868 10251 14732 8439 2221 7506 14277
149,13980 4364 19783 10496 14758 5978 11896 18859 15570 3347
164,19856 8408 19941 18599 1743 6408 16591 3161 5391 7185
169,7157 19858 18615 6901 11268 14226 6409 19976 4710 6985
180,17281 20135 1023 6971 5734 5722 14797 10089 2134 4695
199,16205 8487 10825 18361 6287 7981 4513 1804 4316 4774
210,19305 14904 16583 394 2006 5751 18743 5429 19075 16486
220,13518 8278 13803 18575 17550 20120 1060 11394 12237 4584
221,15578 6253 17096 12563 18381 2740 360 7059 13782 17239
227,3855 9229 18040 6448 13300 15345 13730 18336 12517 12075
228,18361 18902 2730 4743 11133 16521 8169 4148 4774 8487
231,9675 11157 4768 15187 12161 17367 7809 18642 8092 17353
235,18090 11510 3210 2000 10577 9246 1513 6624 19288 13893
239,8047 17663 5355 9504 12744 10442 18824 17966 7596 4339
241,5359 10706 4026 1133 1641 7545 3788 17346 5100 4058
244,17096 15209 13782 13237 18728 15578 4364 3055 16760 1534
255,10250 13101 573 18649 11107 1746 14052 3885 20134 2037
256,3600 12287 5981 16457 628 8601 5110 9753 8942 5736
258,11366 14395 6253 4364 14591 6556 15578 15209 1746 10264
262,4169 15771 12196 13745 2579 2243 19950 10239 19035 14277
265,8155 11200 16009 20591 11243 13032 5664 14180 16331 14066
268,3855 5817 14149 3750 18249 4743 4023 559 11759 8268
270,7153 3749 14944 13957 7941 17143 14247 660 19169 638
271,19075 5023 10339 19466 8342 8033 3375 12196 3799 14306
272,12712 15098 15988 18425 8731 3467 6672 2551 13052 20232
275,11107 17239 10264 2674 13237 14052 6799 10250 7619 14591
277,10481 7224 16673 6971 3001 12910 19929 20163 1023 7081
290,11715 13406 3009 16385 17211 14907 12931 1192 17131 17586
302,10269 20169 3001 17203 15090 14178 37 1641 16379 16866
303,9473 19969 5149 663 17414 15722 12490 18852 7309 3242
310,8749 12164 6557 16451 9676 20443 14097 15498 16973 9963
315,17056 7256 8526 4029 15778 3118 12550 2964 5261 7701
316,9388 9718 4774 8645 5125 9944 15452 11178 10521 6920
326,9941 17034 12639 16820 5606 3811 10636 8304 2997 14826
332,11164 16998 5881 16486 19838 19398 6648 18453 13416 2367
337,15771 14826 16994 10848 8659 10269 1149 2873 1085 18096
