itemid,mean,dev_std,min,max,sparse
0,0.016817372, 0.025180258, 5.1012726e-06, 0.15941949, 0.9903077295856555
1,0.022102093, 0.041014552, 2.8077407e-05, 0.45254934, 0.9880300460382845
2,0.023363722, 0.044216715, 3.1951953e-05, 0.43835706, 0.9811000726920281
3,0.0390889, 0.059895657, 0.00021224485, 0.29577756, 0.9988369275502786
4,0.02552928, 0.04363844, 0.00018713516, 0.21433842, 0.9980615459171311
5,0.022305904, 0.043160245, 5.627394e-06, 0.30530939, 0.9888538890235038
6,0.049588274, 0.07276218, 3.1478347e-05, 0.5699423, 0.9907923431063727
7,0.041101906, 0.074051075, 7.986413e-06, 0.48896533, 0.9947177126241822
8,0.023829022, 0.040430404, 5.1739247e-05, 0.17401095, 0.9949115580324691
9,0.011402608, 0.019725652, 0.00013682611, 0.12497414, 0.9973346256360552
10,0.023468867, 0.03980715, 9.932484e-05, 0.20594607, 0.9945723285679671
11,0.024145791, 0.054188803, 0.0039138948, 0.30908147, 0.9981100072692028
12,0.017850617, 0.03888275, 2.231348e-05, 0.3127089, 0.9878846619820693
13,0.040824957, 0.038196698, 0.00016015943, 0.1318986, 0.9990307729585656
14,0.017648436, 0.017813278, 0.00030243938, 0.0847247, 0.9972377029319118
15,0.019902775, 0.0343993, 2.0259657e-05, 0.26028308, 0.9807123818754543
16,0.016755091, 0.038927406, 6.304952e-05, 0.35211912, 0.9900169614732252
17,0.02677598, 0.033272658, 0.0015146808, 0.10736942, 0.9992730797189242
18,0.03805076, 0.030287394, 0.00030788395, 0.07373227, 0.9988853889023503
19,0.017122615, 0.035572037, 7.156826e-06, 0.26613665, 0.9850254422098377
20,0.047338504, 0.07553911, 9.7930664e-05, 0.4684678, 0.9924400290768113
21,0.022166304, 0.043212622, 1.2927517e-05, 0.44930527, 0.983038526774897
22,0.015466118, 0.028546572, 4.0045516e-06, 0.21935582, 0.9873031257572086
23,0.019785471, 0.034630496, 7.88638e-05, 0.28376806, 0.9825539132541798
24,0.024072587, 0.0367299, 4.8380738e-05, 0.35614434, 0.9735401017688393
25,0.058884654, 0.09443562, 0.0006700465, 0.4401468, 0.9979161618609159
26,0.019325567, 0.0363896, 2.2847973e-05, 0.45314598, 0.9681124303368064
27,0.022477098, 0.038980298, 3.7818374e-06, 0.34474742, 0.9670462805912285
28,0.022259556, 0.038475435, 5.1470295e-07, 0.39920714, 0.9662224376060092
29,0, 0, 0, 0, 1
30,0.026150893, 0.045521922, 0.00010463603, 0.2536858, 0.9972861642839835
31,0.041092016, 0.08092242, 5.2255975e-05, 0.4075303, 0.9957838623697601
32,0.02361126, 0.03999189, 1.9089609e-07, 0.3466687, 0.9758177853162103
33,0.032127444, 0.059218325, 4.5797806e-05, 0.41745377, 0.9873031257572086
34,0.021440048, 0.048805024, 4.0007533e-05, 0.275502, 0.9951538647928277
35,0.026739111, 0.047835495, 8.371439e-06, 0.44088715, 0.985849285195057
36,0.01982558, 0.025816405, 0.00041274028, 0.13953908, 0.9954446329052581
37,0.026640512, 0.047333736, 5.387968e-06, 0.4398732, 0.9653501332687182
38,0.024990914, 0.038871173, 1.3606563e-05, 0.26822764, 0.9846862127453356
39,0.024435917, 0.053541996, 9.84804e-06, 0.49121538, 0.9933123334141023
40,0.019211411, 0.018320838, 1.1731639e-05, 0.046211954, 0.997722316452629
41,0.019577539, 0.03895402, 5.134239e-05, 0.28572416, 0.9918584928519506
42,0.022205677, 0.044177845, 3.8856862e-05, 0.37768948, 0.9850254422098377
43,0.08657654, 0.102580085, 0.0011804282, 0.26975092, 0.9993700024230676
44,0.020943034, 0.009892013, 0.0014507222, 0.027814198, 0.9978677005088442
45,0.044839945, 0.07294178, 2.6690563e-05, 0.38035804, 0.9951538647928277
46,0.0292108, 0.049227174, 2.6668942e-05, 0.5056813, 0.980421613763024
47,0.00708206, 0.009560653, 9.448201e-06, 0.038283255, 0.9987884661982069
48,0.014728018, 0.029007625, 9.7134056e-05, 0.15349601, 0.9934092561182457
49,0.036605563, 0.08163639, 2.4068922e-06, 0.4189279, 0.9986430821419917
50,0.06609041, 0.09787786, 0.0011504589, 0.42614883, 0.9984007753816332
51,0.024021065, 0.053063765, 3.9110353e-05, 0.5932807, 0.9841531378725467
52,0.04327641, 0.08537988, 0.00025049804, 0.4350175, 0.9987400048461352
53,0.02694265, 0.043288834, 0.00024432936, 0.2577221, 0.9950569420886842
54,0.022396911, 0.058620144, 0.00014448827, 0.35426727, 0.9974800096922705
55,0.021316882, 0.038835984, 1.3916443e-06, 0.35211608, 0.9846862127453356
56,0.029403904, 0.049983628, 3.53205e-07, 0.4725744, 0.965204749212503
57,0.020251011, 0.039693844, 5.3124448e-05, 0.3843912, 0.9848315968015507
58,0.02391354, 0.02750935, 3.4257082e-05, 0.06418575, 0.9982069299733463
59,0.01604055, 0.029222453, 2.7724334e-05, 0.25509202, 0.9879331233341411
60,0.02115665, 0.030960867, 2.555708e-05, 0.20753922, 0.9807608432275261
61,0.006763893, 0.010750224, 0.00012555196, 0.069858, 0.997722316452629
62,0.055239193, 0.094750136, 0.0009962276, 0.44228956, 0.9990792343106373
63,0.04325049, 0.051085938, 0.00045817482, 0.12668526, 0.9990792343106373
64,0.017188579, 0.02744753, 0.00016717754, 0.15997392, 0.9963169372425491
65,0.024935542, 0.044589568, 3.742738e-06, 0.41793415, 0.9759631693724254
66,0.041412987, 0.049698442, 0.00024414662, 0.1202415, 0.9990307729585656
67,0.02257371, 0.03820994, 2.0486108e-05, 0.40870303, 0.9858008238429852
68,0, 0, 0, 0, 1
69,0.028243043, 0.041823756, 1.1653179e-05, 0.319277, 0.9759147080203537
70,0.02497832, 0.0463451, 4.7048987e-05, 0.27515212, 0.9897746547128665
71,0.021467865, 0.0359257, 5.1817606e-06, 0.25585496, 0.9880300460382845
72,0.03178498, 0.057297874, 8.473622e-06, 0.32592988, 0.9967530894111946
73,0.025672335, 0.04613155, 6.3018065e-06, 0.37866405, 0.9802277683547371
74,0.02074497, 0.03560468, 7.796877e-05, 0.09814056, 0.9980130845650593
75,0.02507667, 0.046639778, 1.0525269e-05, 0.45798314, 0.9667070511267264
76,0.018575396, 0.032271523, 6.980296e-05, 0.21020861, 0.9928761812454567
77,0.01820942, 0.041835103, 8.545212e-05, 0.33366862, 0.9965107826508359
78,0.01907053, 0.030607723, 9.6756885e-06, 0.21652116, 0.9902592682335837
79,0.016721483, 0.023673829, 7.592465e-05, 0.06275959, 0.9974315483401986
80,0.028283473, 0.0445415, 2.5833362e-05, 0.35426533, 0.9542524836442937
81,0.020879693, 0.051341027, 4.6590812e-06, 0.4360149, 0.9963653985946208
82,0.01764371, 0.042566385, 1.6997536e-05, 0.44361004, 0.9907923431063727
83,0.057729673, 0.08171526, 0.00019935062, 0.3168684, 0.9975284710443422
84,0.024958042, 0.040682476, 9.51583e-06, 0.27995583, 0.9821177610855343
85,0.04104981, 0.08765586, 0.0004759594, 0.430927, 0.9979646232129876
86,0.013370003, 0.04450832, 1.4537774e-05, 0.29587176, 0.9972377029319118
87,0, 0, 0, 0, 1
88,0.022446673, 0.04512043, 2.025184e-06, 0.43192303, 0.9866246668282045
89,0.026877817, 0.044577263, 8.4192514e-05, 0.46055502, 0.9805185364671675
90,0.025964692, 0.03981888, 7.671722e-05, 0.28974468, 0.9897261933607948
91,0.013162626, 0.026788322, 1.9716475e-05, 0.24865603, 0.9904531136418706
92,0.022620173, 0.043802515, 3.805673e-06, 0.4354551, 0.9847346740974073
93,0.019411841, 0.031902112, 1.7324706e-05, 0.27223098, 0.9909861885146596
94,0.02734709, 0.030487787, 0.00023600743, 0.1300718, 0.9977707778047008
95,0.028357886, 0.054165784, 4.260629e-06, 0.31557968, 0.9921977223164526
96,0.03009964, 0.047725905, 1.8148065e-05, 0.4114473, 0.9798400775381633
97,0.026705887, 0.05796532, 0.00040880544, 0.27650538, 0.9989823116064939
98,0.011258505, 0.018517878, 9.1981376e-05, 0.08048597, 0.9986915434940635
99,0.011637835, 0.01993654, 5.2867017e-06, 0.16946131, 0.9935061788223891
100,0.029778061, 0.050303385, 1.9664127e-05, 0.3317389, 0.9904046522897989
101,0.029174034, 0.051412933, 6.668083e-05, 0.2420332, 0.9981584686212746
102,0.019532084, 0.035094738, 4.4557448e-05, 0.2907147, 0.9891446571359341
103,0.024648875, 0.050328135, 1.1811643e-06, 0.42913443, 0.9801308456505936
104,0.02329673, 0.032330193, 7.0009104e-05, 0.18753898, 0.9949115580324691
105,0.030911177, 0.056786254, 8.31251e-05, 0.32200956, 0.9914708020353767
106,0.022352668, 0.03561824, 0.00019038063, 0.16551636, 0.9966077053549794
107,0.05596494, 0.09088455, 0.00018274711, 0.45429736, 0.9986915434940635
108,0.023613285, 0.041399017, 2.0110927e-05, 0.33009294, 0.9769808577659317
109,0.019139415, 0.028821154, 7.8861885e-05, 0.18693049, 0.995105403440756
110,0.036197998, 0.06152181, 0.00015218994, 0.34911755, 0.9939907923431064
111,0.023642419, 0.061751258, 0.00027002255, 0.3899981, 0.9969953961715532
112,0.023060512, 0.03722259, 2.995961e-05, 0.24174255, 0.9912769566270899
113,0.01579397, 0.012534052, 0.0025695448, 0.03493395, 0.999660770535498
114,0.0074775275, 0.011473081, 2.3493396e-05, 0.061980415, 0.9949600193845408
115,0.031497687, 0.04130483, 6.154965e-06, 0.19007921, 0.9948146353283257
116,0.057800196, 0.107473105, 0.00066024554, 0.36826873, 0.9995153864792827
117,0.02419404, 0.040790148, 6.76058e-06, 0.2829849, 0.9800823842985219
118,0.030657498, 0.04408445, 8.257489e-05, 0.17962982, 0.9952507874969712
119,0.01846326, 0.042847343, 3.6329962e-05, 0.2796984, 0.997722316452629
120,0.018717058, 0.036114376, 7.4335576e-06, 0.4326824, 0.9825539132541798
121,0.019131457, 0.03902724, 5.2576845e-05, 0.29984418, 0.9884177368548582
122,0.0145697165, 0.03243273, 7.186697e-06, 0.2563862, 0.9903077295856555
123,0.023788514, 0.0383606, 4.2196666e-06, 0.3512121, 0.9759631693724254
124,0.023021022, 0.051240467, 2.0610996e-06, 0.4303458, 0.9843469832808336
125,0.024255134, 0.039450042, 6.704053e-06, 0.27715093, 0.9732008723043373
126,0.020886881, 0.040177707, 1.1331716e-05, 0.33830738, 0.9865277441240611
127,0.020265466, 0.039233882, 0.00017556855, 0.16851266, 0.9982069299733463
128,0.01431824, 0.026494652, 8.186366e-05, 0.13392544, 0.9960746304821905
129,0.024221588, 0.030153403, 0.0002969452, 0.100248426, 0.9992730797189242
130,0.021731012, 0.016531747, 0.0005995492, 0.045196235, 0.9997092318875697
131,0.040109333, 0.046296015, 0.0006689386, 0.2536159, 0.9952507874969712
132,0.007832249, 0.0078273155, 0.00045368657, 0.024372265, 0.9992246183668524
133,0.016426476, 0.018178577, 0.00026437966, 0.07894576, 0.9985461594378483
134,0.024244158, 0.04773328, 1.9897037e-05, 0.451044, 0.983377756239399
135,0.022770789, 0.04017096, 0.00036120016, 0.27298933, 0.9947661739762539
136,0.029128788, 0.019303497, 0.00023396043, 0.04615364, 0.9984976980857766
137,0.025143446, 0.043100405, 0.00016310625, 0.20022021, 0.9967530894111946
138,0.007952677, 0.00953922, 2.368718e-05, 0.040582016, 0.9939423309910347
139,0.027700966, 0.038746793, 2.3174938e-05, 0.24805, 0.9922946450205961
140,0.024831811, 0.038745284, 8.913621e-05, 0.12907161, 0.9984007753816332
141,0.057238396, 0.05519078, 0.0017728067, 0.18674012, 0.9990792343106373
142,0.014470078, 0.019710567, 4.3374735e-06, 0.11535083, 0.993893869638963
143,0.04125657, 0.07360389, 8.4589185e-05, 0.4377782, 0.9946692512721105
144,0.01597087, 0.031088257, 1.676762e-06, 0.2988375, 0.9901623455294403
145,0.020717263, 0.04495006, 3.2708966e-05, 0.35696626, 0.9903077295856555
146,0.032846395, 0.05943307, 1.8731344e-05, 0.4197849, 0.9901623455294403
147,0.022052739, 0.039668374, 9.4792034e-07, 0.3638311, 0.9783862369760117
148,0.017254453, 0.032789808, 8.2118495e-06, 0.36543372, 0.9845892900411921
149,0.029486092, 0.05618068, 4.618383e-05, 0.45074746, 0.9832323721831839
150,0.03805086, 0.030287424, 0.000309569, 0.073735304, 0.9988853889023503
151,0.020106528, 0.030988004, 3.712984e-05, 0.22504826, 0.990210806881512
152,0.023397382, 0.04586652, 4.620374e-06, 0.44932017, 0.9862854373637024
